book1,book2,prop1,prop2,count,pp1,pp2
ThePresentMethodOfInoculatingForTheSmallPox3rdEd,ThePresentMethodOfInoculatingForTheSmallPox2ndEd,0.975609756097561,0.975609756097561,160,164,164
ThePresentMethodOfInoculatingForTheSmallPox4thEd,ThePresentMethodOfInoculatingForTheSmallPox2ndEd,0.9226190476190477,0.9451219512195121,155,168,164
ThePresentMethodOfInoculatingForTheSmallPox4thEd,ThePresentMethodOfInoculatingForTheSmallPox3rdEd,0.9345238095238095,0.9573170731707317,157,168,164
TrattatoDellAgricoltura1605,bub_gb_FeE4N4pFp-wC,0.9323432343234324,0.9354304635761589,565,606,604
TravelsInEuropeAfricaAndAsiaMadeBetweenTheYears1770And1779,in.ernet.dli.2015.181818,0.9305555555555556,0.938375350140056,670,720,714
TypographiaEspanolaOHistoriaDe2,TypographiaEspanolaOHistoriaDe1,0.941304347826087,0.9331896551724138,433,460,464
TypographiaEspanolaOHistoriaDe2,typographiaespa00mngoog,0.908695652173913,0.9106753812636166,418,460,459
a1744artedefurta00vieiuoft,artedefurtarespe01viei,0.9439461883408071,0.9481981981981982,421,446,444
a592196600mannuoft,poormanscontrove00manniala,0.9375,0.9375,135,144,144
a603107100panzuoft,memoirsgregorio00panzgoog,0.960377358490566,0.9658444022770398,509,530,527
aa1758jjrousseau00rous,a1758jjrousseauci00rous,0.95,0.9563758389261745,285,300,298
abbregchronolo07mz,bub_gb_9Dshpo-qI8wC,0.9045454545454545,0.9299065420560748,398,440,428
abecedariopitto00orlagoog,labecedariopitto00orla,0.9022801302931596,0.9052287581699346,554,614,612
abhandlungberd03girt,b28772532_0003,0.9399293286219081,0.9366197183098591,532,566,568
abregchronolog05lefeuoft,bub_gb_3l3QO7WdWvUC,0.9583333333333334,0.9552715654952076,598,624,626
abregchronolog05lefeuoft,bub_gb_Tl4PAAAAQAAJ,0.969551282051282,0.9664536741214057,605,624,626
abregdelaphilos01gassgoog,Abregdelaphilos07gassgoog,0.9279038718291055,0.9279038718291055,695,749,749
abregdelaviedes00pilegoog,abregedelaviedes00pile,0.9474708171206225,0.9624505928853755,487,514,506
abregdelaviedes00pilegoog,oeuvresdiverses00pilegoog,0.9163424124513618,0.9181286549707602,471,514,513
abregdelaviedes01dargoog,abregdelaviedesf03dzal,0.930635838150289,0.92,322,346,350
abregdelaviedesf01dzal,abrgdelaviedesp02dargoog,0.939453125,0.9357976653696498,481,512,514
abregdelaviedesf01dzal,bub_gb_6bgOAAAAQAAJ,0.962890625,0.9591439688715954,493,512,514
abregdelaviedesf01dzal,bub_gb_NCwGAAAAQAAJ,0.935546875,0.9319066147859922,479,512,514
abregdelaviedesp00pile,abregdelaviedesp00pile_0,0.9656862745098039,0.9656862745098039,591,612,612
abregdelaviedesp00pile,bub_gb_9TWVXvoX8WUC,0.9052287581699346,0.915702479338843,554,612,605
abregdelaviedesp00pile,bub_gb_bBrWdoAMivMC,0.9526143790849673,0.9541734860883797,583,612,611
abregdelhistoi02kerr,bub_gb_3n86AAAAcAAJ,0.9558823529411765,0.982367758186398,390,408,397
abregdelhistoire02bult,bub_gb_Kjg_AAAAcAAJ,0.9583333333333334,0.9592850049652433,966,1008,1007
